Name,URL,Status,Notes
Apple Newsroom,+1 415 555 0142,incomplete,Q3 earnings page
BBC Homepage,020 7946 0958,complete,
Changelog Nightly,+44 20 7946 0958,incomplete,Skip the archive pages
"Comma, Inc. Blog",+1 (415) 555-0163,complete,"Note with, commas, and ""quotes"""
Demo Domain,+49 30 901820,incomplete,
GitHub Trending,+61 2 5550 1234,incomplete,Check weekly
Hacker News,+1-415-555-0189,complete,Blocked in iframes — use ↗
Sheets Example,+33 1 70 18 99 00,incomplete,
Turnstone Repo,+81 3 5555 0100,incomplete,
Wikipedia Portal,+1 415 555 0110,incomplete,
