Vendor,Onboarding Link,Stage,Owner,Contact
Northwind Paper Co.,https://portal.example.com/vendor/4482,Approved,F. Adeyemi,ap@northwind.example
Calder Office Supplies,https://portal.example.com/vendor/4483,Contract sent,F. Adeyemi,accounts@calder.example
Harrow Freight,https://portal.example.com/vendor/4491,KYC in review,M. Lindqvist,finance@harrow.example
Brightwell Catering,https://portal.example.com/vendor/4494,Approved,M. Lindqvist,hello@brightwell.example
Ordnance Tooling,https://portal.example.com/vendor/4502,Bank details pending,R. Haddad,ar@ordnance.example
Selby Legal LLP,https://portal.example.com/vendor/4510,Approved,R. Haddad,billing@selby.example
Kestrel IT Services,https://portal.example.com/vendor/4517,Security review,R. Haddad,ops@kestrel.example
Halden Cleaning,https://portal.example.com/vendor/4521,Contract sent,M. Lindqvist,admin@halden.example
Wexford Print,https://portal.example.com/vendor/4526,Rejected,F. Adeyemi,quotes@wexford.example
Aldgate Couriers,https://portal.example.com/vendor/4533,Approved,M. Lindqvist,dispatch@aldgate.example
